rows,direction,part,of,file,start,end,pass,varietal,scanid
11,dir2,2,2,2017-08-31_11-46_22179667_11_57.tar.gz,12303.85,12309.65,1,cabernet sauvignon,2017-08-31_11-46
13,dir1,1,1,2017-08-31_11-46_22179667_11_57.tar.gz,12315.15,12355.05,1,cabernet sauvignon,2017-08-31_11-46
13,dir2,1,2,2017-08-31_11-46_22179667_11_57.tar.gz,12361.35,12363.8,1,cabernet sauvignon,2017-08-31_11-46
13,dir2,2,2,2017-08-31_11-46_22179667_11_58.tar.gz,12363.85,12392,1,cabernet sauvignon,2017-08-31_11-46
15,dir1,1,2,2017-08-31_11-46_22179667_11_58.tar.gz,12397.5,12423.8,1,cabernet sauvignon,2017-08-31_11-46
15,dir1,2,2,2017-08-31_11-46_22179667_11_59.tar.gz,12423.85,12435.15,1,cabernet sauvignon,2017-08-31_11-46
15,dir2,1,1,2017-08-31_11-46_22179667_11_59.tar.gz,12441.35,12475.4,1,cabernet sauvignon,2017-08-31_11-46
16,dir2,1,1,2017-08-31_12-45_22005521_12_45.tar.gz,4.15,39.85,1,cabernet sauvignon,2017-08-31_12-45
18,dir1,1,2,2017-08-31_12-45_22005521_12_45.tar.gz,45.65,47.85,1,cabernet sauvignon,2017-08-31_12-45
18,dir1,2,2,2017-08-31_12-45_22005521_12_46.tar.gz,47.9,76.5,1,cabernet sauvignon,2017-08-31_12-45
18,dir2,1,2,2017-08-31_12-45_22005521_12_46.tar.gz,81.35,107.8,1,cabernet sauvignon,2017-08-31_12-45
18,dir2,2,2,2017-08-31_12-45_22005521_12_47.tar.gz,107.85,119.6,1,cabernet sauvignon,2017-08-31_12-45
20,dir1,1,1,2017-08-31_12-45_22005521_12_47.tar.gz,126.15,151.5,1,cabernet sauvignon,2017-08-31_12-45
20,dir2,1,2,2017-08-31_12-45_22005521_12_47.tar.gz,155.9,166.2,1,cabernet sauvignon,2017-08-31_12-45
20,dir2,2,2,2017-08-31_12-45_22005521_12_48.tar.gz,166.25,191.7,1,cabernet sauvignon,2017-08-31_12-45
22,dir1,1,2,2017-08-31_12-45_22005521_12_48.tar.gz,198,227.45,1,cabernet sauvignon,2017-08-31_12-45
22,dir1,2,2,2017-08-31_12-45_22005521_12_49.tar.gz,227.5,229.6,1,cabernet sauvignon,2017-08-31_12-45
22,dir2,1,1,2017-08-31_12-45_22005521_12_49.tar.gz,233.95,270.35,1,cabernet sauvignon,2017-08-31_12-45
24,dir1,1,2,2017-08-31_12-45_22005521_12_49.tar.gz,277.05,287.3,1,cabernet sauvignon,2017-08-31_12-45
24,dir1,2,2,2017-08-31_12-45_22005521_12_50.tar.gz,287.35,301.5,1,cabernet sauvignon,2017-08-31_12-45
24,dir2,1,1,2017-08-31_12-45_22005521_12_50.tar.gz,305.9,343.15,1,cabernet sauvignon,2017-08-31_12-45
26,dir1,1,1,2017-08-31_12-45_22005521_12_51.tar.gz,349.6,373.5,1,cabernet sauvignon,2017-08-31_12-45
26,dir2,1,2,2017-08-31_12-45_22005521_12_51.tar.gz,378,406.95,1,cabernet sauvignon,2017-08-31_12-45
26,dir2,2,2,2017-08-31_12-45_22005521_12_52.tar.gz,407,411.9,1,cabernet sauvignon,2017-08-31_12-45
28,dir1,1,1,2017-08-31_12-45_22005521_12_52.tar.gz,419,444.2,1,cabernet sauvignon,2017-08-31_12-45
28,dir2,1,2,2017-08-31_12-45_22005521_12_52.tar.gz,448.6,466.95,1,cabernet sauvignon,2017-08-31_12-45
28,dir2,2,2,2017-08-31_12-45_22005521_12_53.tar.gz,467,483.95,1,cabernet sauvignon,2017-08-31_12-45
30,dir1,1,1,2017-08-31_12-45_22005521_12_53.tar.gz,490.1,513.15,1,cabernet sauvignon,2017-08-31_12-45
30,dir2,1,2,2017-08-31_12-45_22005521_12_53.tar.gz,517.6,526.45,1,cabernet sauvignon,2017-08-31_12-45
30,dir2,2,2,2017-08-31_12-45_22005521_12_54.tar.gz,526.5,553.05,1,cabernet sauvignon,2017-08-31_12-45
32,dir1,1,1,2017-08-31_12-45_22005521_12_54.tar.gz,559,580.25,1,cabernet sauvignon,2017-08-31_12-45
32,dir2,1,2,2017-08-31_12-45_22005521_12_54.tar.gz,584.6,586.95,1,cabernet sauvignon,2017-08-31_12-45
32,dir2,2,2,2017-08-31_12-45_22005521_12_55.tar.gz,587,621.05,1,cabernet sauvignon,2017-08-31_12-45
34,dir1,1,1,2017-08-31_12-45_22005521_12_55.tar.gz,626.7,646.95,1,cabernet sauvignon,2017-08-31_12-45
34,dir2,1,1,2017-08-31_12-45_22005521_12_56.tar.gz,651.8,684.1,1,cabernet sauvignon,2017-08-31_12-45
36,dir1,1,2,2017-08-31_12-45_22005521_12_56.tar.gz,689.3,706.95,1,cabernet sauvignon,2017-08-31_12-45
36,dir1,2,2,2017-08-31_12-45_22005521_12_57.tar.gz,707,708.1,1,cabernet sauvignon,2017-08-31_12-45
36,dir2,1,1,2017-08-31_12-45_22005521_12_57.tar.gz,712.5,755.5,1,cabernet sauvignon,2017-08-31_12-45
38,dir1,1,2,2017-08-31_12-45_22005521_12_57.tar.gz,760.1,766.95,1,cabernet sauvignon,2017-08-31_12-45
38,dir1,2,2,2017-08-31_12-45_22005521_12_58.tar.gz,767,775.85,1,cabernet sauvignon,2017-08-31_12-45
