queue,timestamp,num
rvm:11b,1505455549.0,1
preproc:a4c,1505455549.0,53
process:5g,1505455549.0,2
rvm:1b,1505455549.0,1
process:a8,1505455549.0,3
process:2b,1505455549.0,6
rvm:11b,1505455560.0,1
preproc:a4c,1505455560.0,53
process:5g,1505455560.0,2
detection:5g,1505455560.0,1
rvm:1b,1505455560.0,1
process:a8,1505455560.0,3
process:2b,1505455560.0,6
rvm:11b,1505455570.0,1
preproc:a4c,1505455570.0,53
process:5g,1505455570.0,2
rvm:1b,1505455570.0,1
process:a8,1505455570.0,3
process:2b,1505455570.0,6
rvm:11b,1505455580.0,1
preproc:a4c,1505455580.0,53
process:5g,1505455580.0,2
detection:5g,1505455580.0,0
rvm:1b,1505455580.0,1
process:a8,1505455580.0,2
process:2b,1505455580.0,6
rvm:11b,1505455591.0,1
preproc:a4c,1505455591.0,53
process:5g,1505455591.0,2
rvm:1b,1505455591.0,1
process:2b,1505455591.0,6
rvm:11b,1505455601.0,1
preproc:a4c,1505455601.0,53
process:5g,1505455601.0,2
rvm:1b,1505455601.0,1
process:2b,1505455601.0,6
rvm:11b,1505455612.0,1
preproc:a4c,1505455612.0,53
process:5g,1505455612.0,2
rvm:1b,1505455612.0,1
process:2b,1505455612.0,6
rvm:11b,1505455622.0,1
preproc:a4c,1505455622.0,53
process:5g,1505455622.0,2
rvm:1b,1505455622.0,1
process:2b,1505455622.0,6
rvm:11b,1505455633.0,1
preproc:a4c,1505455633.0,53
process:5g,1505455633.0,3
rvm:1b,1505455633.0,1
process:2b,1505455633.0,6
rvm:11b,1505455643.0,1
preproc:a4c,1505455643.0,53
process:5g,1505455643.0,3
rvm:1b,1505455643.0,1
process:2b,1505455643.0,6
rvm:11b,1505455653.0,1
preproc:a4c,1505455653.0,53
process:5g,1505455653.0,3
rvm:1b,1505455653.0,1
process:2b,1505455653.0,6
rvm:11b,1505455664.0,1
preproc:a4c,1505455664.0,53
process:5g,1505455664.0,3
rvm:1b,1505455664.0,1
process:2b,1505455664.0,6
rvm:11b,1505455675.0,1
preproc:a4c,1505455675.0,53
process:5g,1505455675.0,3
rvm:1b,1505455675.0,1
process:2b,1505455675.0,6
rvm:11b,1505455685.0,1
preproc:a4c,1505455685.0,53
process:5g,1505455685.0,3
