queue,timestamp,num
rvm:11b,Thu Sep 14 23:05:49 2017,1
preproc:a4c,Thu Sep 14 23:05:49 2017,53
process:5g,Thu Sep 14 23:05:49 2017,2
rvm:1b,Thu Sep 14 23:05:49 2017,1
process:a8,Thu Sep 14 23:05:49 2017,3
process:2b,Thu Sep 14 23:05:49 2017,6
rvm:11b,Thu Sep 14 23:06:00 2017,1
preproc:a4c,Thu Sep 14 23:06:00 2017,53
process:5g,Thu Sep 14 23:06:00 2017,2
detection:5g,Thu Sep 14 23:06:00 2017,1
rvm:1b,Thu Sep 14 23:06:00 2017,1
process:a8,Thu Sep 14 23:06:00 2017,3
process:2b,Thu Sep 14 23:06:00 2017,6
rvm:11b,Thu Sep 14 23:06:10 2017,1
preproc:a4c,Thu Sep 14 23:06:10 2017,53
process:5g,Thu Sep 14 23:06:10 2017,2
rvm:1b,Thu Sep 14 23:06:10 2017,1
process:a8,Thu Sep 14 23:06:10 2017,3
process:2b,Thu Sep 14 23:06:10 2017,6
rvm:11b,Thu Sep 14 23:06:20 2017,1
preproc:a4c,Thu Sep 14 23:06:20 2017,53
process:5g,Thu Sep 14 23:06:20 2017,2
detection:5g,Thu Sep 14 23:06:20 2017,0
rvm:1b,Thu Sep 14 23:06:20 2017,1
process:a8,Thu Sep 14 23:06:20 2017,2
process:2b,Thu Sep 14 23:06:20 2017,6
rvm:11b,Thu Sep 14 23:06:31 2017,1
preproc:a4c,Thu Sep 14 23:06:31 2017,53
process:5g,Thu Sep 14 23:06:31 2017,2
rvm:1b,Thu Sep 14 23:06:31 2017,1
process:2b,Thu Sep 14 23:06:31 2017,6
rvm:11b,Thu Sep 14 23:06:41 2017,1
preproc:a4c,Thu Sep 14 23:06:41 2017,53
process:5g,Thu Sep 14 23:06:41 2017,2
rvm:1b,Thu Sep 14 23:06:41 2017,1
process:2b,Thu Sep 14 23:06:41 2017,6
rvm:11b,Thu Sep 14 23:06:52 2017,1
preproc:a4c,Thu Sep 14 23:06:52 2017,53
process:5g,Thu Sep 14 23:06:52 2017,2
rvm:1b,Thu Sep 14 23:06:52 2017,1
process:2b,Thu Sep 14 23:06:52 2017,6
rvm:11b,Thu Sep 14 23:07:02 2017,1
preproc:a4c,Thu Sep 14 23:07:02 2017,53
process:5g,Thu Sep 14 23:07:02 2017,2
rvm:1b,Thu Sep 14 23:07:02 2017,1
process:2b,Thu Sep 14 23:07:02 2017,6
rvm:11b,Thu Sep 14 23:07:13 2017,1
preproc:a4c,Thu Sep 14 23:07:13 2017,53
process:5g,Thu Sep 14 23:07:13 2017,3
rvm:1b,Thu Sep 14 23:07:13 2017,1
process:2b,Thu Sep 14 23:07:13 2017,6
rvm:11b,Thu Sep 14 23:07:23 2017,1
preproc:a4c,Thu Sep 14 23:07:23 2017,53
process:5g,Thu Sep 14 23:07:23 2017,3
rvm:1b,Thu Sep 14 23:07:23 2017,1
process:2b,Thu Sep 14 23:07:23 2017,6
rvm:11b,Thu Sep 14 23:07:33 2017,1
preproc:a4c,Thu Sep 14 23:07:33 2017,53
process:5g,Thu Sep 14 23:07:33 2017,3
rvm:1b,Thu Sep 14 23:07:33 2017,1
process:2b,Thu Sep 14 23:07:33 2017,6
rvm:11b,Thu Sep 14 23:07:44 2017,1
preproc:a4c,Thu Sep 14 23:07:44 2017,53
process:5g,Thu Sep 14 23:07:44 2017,3
rvm:1b,Thu Sep 14 23:07:44 2017,1
process:2b,Thu Sep 14 23:07:44 2017,6
rvm:11b,Thu Sep 14 23:07:55 2017,1
preproc:a4c,Thu Sep 14 23:07:55 2017,53
process:5g,Thu Sep 14 23:07:55 2017,3
rvm:1b,Thu Sep 14 23:07:55 2017,1
process:2b,Thu Sep 14 23:07:55 2017,6
rvm:11b,Thu Sep 14 23:08:05 2017,1
preproc:a4c,Thu Sep 14 23:08:05 2017,53
