rows,direction,part,of,file,start,end,pass,varietal,scanid
55,dir1,1,2,2017-06-30_10-01_22179677_10_36.tar.gz,2090.75,2114.2,1,cabernet sauvignon,2017-06-30_10-01
55,dir1,2,2,2017-06-30_10-01_22179677_10_37.tar.gz,2114.25,2117.7,1,cabernet sauvignon,2017-06-30_10-01
55,dir2,1,1,2017-06-30_10-01_22179677_10_37.tar.gz,2120,2144.65,1,cabernet sauvignon,2017-06-30_10-01
57,dir1,1,1,2017-06-30_10-01_22179677_10_37.tar.gz,2147.8,2171.75,1,cabernet sauvignon,2017-06-30_10-01
57,dir2,1,1,2017-06-30_10-01_22179677_10_38.tar.gz,2174.25,2195.65,1,cabernet sauvignon,2017-06-30_10-01
59,dir1,1,1,2017-06-30_10-01_22179677_10_38.tar.gz,2199.55,2231.65,1,cabernet sauvignon,2017-06-30_10-01
59,dir2,1,1,2017-06-30_10-01_22179677_10_39.tar.gz,2235.95,2253.85,1,cabernet sauvignon,2017-06-30_10-01
61,dir1,1,1,2017-06-30_10-01_22179677_10_39.tar.gz,2259.95,2285.8,1,cabernet sauvignon,2017-06-30_10-01
61,dir2,1,2,2017-06-30_10-01_22179677_10_39.tar.gz,2290.05,2294.2,1,cabernet sauvignon,2017-06-30_10-01
61,dir2,2,2,2017-06-30_10-01_22179677_10_40.tar.gz,2294.25,2309.05,1,cabernet sauvignon,2017-06-30_10-01
63,dir1,1,1,2017-06-30_10-01_22179677_10_40.tar.gz,2315.65,2342.75,1,cabernet sauvignon,2017-06-30_10-01
63,dir2,1,2,2017-06-30_10-01_22179677_10_40.tar.gz,2346.85,2354.2,1,cabernet sauvignon,2017-06-30_10-01
63,dir2,2,2,2017-06-30_10-01_22179677_10_41.tar.gz,2354.25,2364.65,1,cabernet sauvignon,2017-06-30_10-01
65,dir1,1,1,2017-06-30_10-01_22179677_10_41.tar.gz,2367.15,2399.4,1,cabernet sauvignon,2017-06-30_10-01
65,dir2,1,2,2017-06-30_10-01_22179677_10_41.tar.gz,2404.05,2414.2,1,cabernet sauvignon,2017-06-30_10-01
65,dir2,2,2,2017-06-30_10-01_22179677_10_42.tar.gz,2414.25,2434.4,1,cabernet sauvignon,2017-06-30_10-01
